0.67,0.97,0.19,0.74,0,0.3,0.34,0,0.79,0.32,1,0.76,0.58,1,0.1,0.73
0.31,0.88,0.05,0.5,0.04,0.08,0.57,0,1,0.3,1,0.71,0.56,1,0,0.92
0.38,0.73,0.05,0.64,0,0.15,0.53,0,0.98,0.34,1,0.83,0.47,1,0.2,0.6
0.1,0.97,0.02,0.47,0.24,0.01,0.74,0,1,0.43,0.82,0.9,0.33,1,0,0.65
0,0.57,0.31,0.68,0.72,0.9,1,1,0.76,0.75,0.5,0.51,0.28,0.25,0.16,0
0,0.67,0.49,0.83,1,1,0.81,0.8,0.6,0.6,0.4,0.4,0.33,0.2,0.47,0
0,0.46,0.49,0.64,0.78,0.87,1,1,0.91,0.75,0.85,0.49,0.75,0.24,0.89,0
1,0.84,0.31,1,0,0.88,0.08,0.7,0.15,0.53,0.15,0.35,0,0.17,0,0
0.51,0.76,0.68,0.91,1,1,0.83,0.8,0.59,0.6,0.34,0.4,0.1,0.2,0,0
0,0.75,0.47,0.87,1,1,0.91,0.8,0.72,0.6,0.53,0.4,0.35,0.2,0.19,0
0,0.75,0.31,0.72,0.67,0.84,1,1,0.94,0.82,0.8,0.54,0.68,0.27,0.56,0
0.41,0.69,0.76,1,0.73,0.81,0.57,0.39,0.46,0,0,0.1,0.5,0.09,1,0.1
0,0.65,0.38,0.79,0.62,1,0.72,0.86,0.77,0.65,0.79,0.43,0.83,0.21,1,0
0,0.6,0.38,0.8,0.8,1,1,0.92,0.8,0.69,0.65,0.46,0.55,0.23,0.55,0
0,0.42,0.3,0.56,0.59,0.72,0.86,0.94,1,1,0.8,0.68,0.62,0.35,0.53,0
0,0.42,0.34,0.57,0.64,0.79,0.95,1,1,0.85,0.81,0.57,0.62,0.28,0.45,0
0.29,0.38,0.61,0.6,0.92,0.83,1,1,0.73,0.76,0.49,0.5,0.25,0.25,0,0
0,0.63,0.41,0.77,0.79,0.94,1,1,0.85,0.74,0.75,0.48,0.71,0.22,0.82,0
0,0.52,0.52,0.83,0.97,1,0.91,0.55,0.84,0.1,0.21,0,0.21,0.07,1,0.07
0.88,0.8,0.12,0.8,1,1,1,0.91,0.65,0.68,0.29,0.46,0.06,0.23,0,0
0,1,0.73,0.97,0.95,0.8,1,0.64,0.95,0.48,0.82,0.31,0.64,0.15,0.23,0
0.39,0.62,0.78,0.88,0.79,1,0.57,0.64,0.38,0.3,0,0,0.34,0.04,1,0
0,0.65,0.43,0.76,0.93,0.96,1,1,0.71,0.75,0.48,0.5,0.26,0.25,0.05,0
0,0.7,0.53,0.88,0.64,1,0.62,0.78,0.7,0.57,0.83,0.36,1,0.14,0.98,0
0,0.67,0.16,0.8,0.64,1,0.85,0.99,0.85,0.74,0.89,0.49,0.95,0.24,1,0
0,0.7,0.63,0.8,0.9,1,1,0.89,1,0.67,0.92,0.44,0.84,0.22,0.71,0
0.29,0.47,0.59,0.71,1,1,0.9,0.81,0.74,0.5,0.66,0.18,0,0,0.99,0.07
0,0.75,0.29,0.79,0.71,0.91,1,1,0.82,0.74,0.68,0.48,0.57,0.21,0.58,0
0,0.48,0.28,0.64,0.61,0.82,0.92,1,1,0.84,0.86,0.56,0.73,0.28,0.64,0
1,1,0.92,0.85,0.75,0.71,0.58,0.57,0.58,0.42,0.33,0.28,0.08,0.14,0,0
0,0.48,0.3,0.67,0.65,0.85,1,1,0.84,0.75,0.65,0.51,0.47,0.25,0.34,0
0.14,0.55,0.4,0.61,0.59,1,0.58,0.62,0.59,0.21,1,0.14,0.48,0.05,0,0
0,0.45,0,0.61,0.48,0.82,1,1,0.97,0.78,0.72,0.51,0.45,0.24,0.33,0
0.28,0.55,0.63,0.78,1,1,0.75,0.71,0.56,0.42,0.35,0.13,0,0,0.25,0
0,0.89,0.27,1,0.42,0.75,0.29,0.45,0.15,0.15,0.37,0,0.69,0.02,1,0.06
0.24,0.66,0.43,1,0.59,0.65,0.34,0.28,0,0.01,0.16,0.11,0.58,0,1,0.01
0,0.73,0.19,0.99,0.72,1,0.7,0.73,0.32,0.48,0.05,0.18,0.46,0,1,0
0.09,0.93,0.53,1,0.89,0.8,0.57,0.52,0.17,0.3,0,0.05,0.5,0.02,1,0
0.29,0.72,0.45,1,0.78,0.78,0.6,0.41,0.25,0.12,0,0.04,0.5,0.06,1,0
0.12,0.78,0.4,1,0.74,0.77,0.52,0.41,0.13,0.14,0,0.17,0.5,0.08,1,0
0.31,0.73,0.55,1,0.55,0.53,0.33,0.14,0,0,0.3,0.11,0.65,0.01,1,0.01
0.33,0.58,0.19,0.9,0.78,1,0.91,0.62,0.51,0.28,0,0.02,0.37,0.01,1,0
0.44,0.66,0.67,1,0.8,0.62,0.47,0.25,0.05,0,0,0.03,0.5,0.04,1,0.07
0.29,0.73,0.56,1,0.68,0.71,0.45,0.38,0.11,0.12,0,0.08,0.5,0.06,1,0
0.4,0.79,0.61,1,0.78,0.72,0.46,0.41,0,0.16,0.01,0.05,0.61,0.01,1,0
0.03,0.66,0.16,1,0.27,0.69,0.14,0.32,0,0,0.33,0.05,0.67,0.1,1,0.11
0.48,0.95,0.94,1,1,0.73,0.75,0.47,0.41,0.25,0,0.05,0.41,0.01,0.94,0
0,0.61,0.22,0.89,0.59,1,0.72,0.73,0.53,0.42,0.31,0.12,0.58,0,1,0.04
0,0.89,0.47,1,0.89,0.87,0.74,0.61,0.45,0.37,0.15,0.14,0.43,0,1,0.01
0.34,0.64,0.52,1,0.58,0.57,0.37,0.16,0,0,0.24,0.2,0.61,0.01,1,0.05
0.09,0.61,0.25,1,0.59,0.72,0.42,0.27,0,0.05,0.05,0.24,0.53,0.16,1,0
0,0.74,0.28,1,0.69,0.99,0.79,0.63,0.59,0.28,0.28,0,0.57,0,1,0.02
0.28,0.75,0.57,1,0.93,0.82,0.71,0.51,0.33,0.26,0,0,0.49,0.05,1,0.16
0.41,0.79,0.47,1,0.84,0.94,0.71,0.52,0.42,0.16,0,0.03,0.49,0.07,1,0
0.36,0.69,0.33,1,0.64,0.85,0.43,0.48,0,0.21,0.06,0.19,0.57,0,1,0.2
0.28,0.71,0.43,1,0.76,0.79,0.49,0.47,0.11,0.21,0,0,0.5,0.01,1,0.04
0,0.84,0.34,1,0.67,0.85,0.6,0.44,0.31,0.19,0.26,0.2,0.64,0.13,1,0
0.35,0.76,0.57,1,1,0.92,0.68,0.66,0.81,0.38,0.82,0.09,0.32,0,0,0.17
0.5,0.84,0.66,1,0.75,0.75,0.51,0.51,1,0.42,0.97,0.13,0.49,0,0,0.07
0.3,0.86,0.67,1,0.77,0.77,0.53,0.5,0.78,0.4,1,0.17,0.56,0,0,0.05
0,0.83,0.29,1,0.88,0.95,0.64,0.69,0.73,0.43,1,0.13,0.5,0.01,0.1,0
0.05,0.9,0.46,0.98,0.89,1,1,0.81,0.77,0.59,0.62,0.34,0.37,0.14,0,0
0.47,0.86,0.73,1,0.89,0.75,0.68,0.49,1,0.28,0.82,0.04,0.38,0,0,0.13
0.11,0.92,0.56,1,0.83,0.82,0.52,0.59,0.87,0.39,1,0.14,0.55,0,0,0
0.2,0.82,0.62,1,1,0.81,0.68,0.54,0.82,0.5,0.89,0.19,0.42,0,0,0.13
0,0.84,0.5,1,0.72,0.79,0.37,0.52,0.51,0.41,1,0.27,0.62,0.03,0.03,0
0.26,0.79,0.69,1,0.92,0.85,0.56,0.56,0.9,0.42,1,0.15,0.51,0,0,0.02
0.08,0.77,0.47,1,1,0.96,0.71,0.66,1,0.46,0.99,0.13,0.46,0,0,0.13
0.2,0.85,0.62,1,0.71,0.72,0.45,0.52,0.98,0.47,1,0.17,0.53,0,0,0
0.38,0.94,0.9,1,0.94,0.79,0.59,0.57,0.68,0.33,1,0.12,0.54,0,0,0.01
0.52,0.91,0.72,1,0.87,0.7,0.57,0.43,1,0.45,0.9,0.15,0.43,0,0,0.12
0.02,0.78,0.46,0.99,1,1,0.77,0.76,0.94,0.38,0.94,0,0.41,0.03,0,0.28
0.37,0.84,0.69,1,0.96,0.87,0.55,0.61,0.88,0.38,1,0.09,0.51,0,0,0.03
0.21,0.75,0.4,1,0.85,0.94,0.67,0.63,1,0.43,0.95,0.11,0.47,0,0,0.13
0.46,0.83,0.87,1,1,0.79,0.75,0.54,0.9,0.36,1,0.13,0.49,0,0,0.12
0.19,0.73,0.54,0.91,1,1,0.99,0.78,0.86,0.52,0.78,0.26,0.43,0.08,0,0
0.36,0.9,0.86,1,0.87,0.73,0.47,0.49,0.92,0.44,1,0.16,0.53,0,0,0.01
0.44,0.8,0.8,1,1,0.85,0.72,0.59,0.92,0.38,0.93,0.14,0.49,0.03,0,0
0.46,0.96,0.8,1,0.81,0.76,0.77,0.6,1,0.36,0.75,0.12,0.36,0,0,0.06
0.52,0.8,0.84,1,1,0.75,0.58,0.53,0.91,0.48,0.89,0.1,0.44,0,0,0.16
0,0.82,0.4,1,0.8,0.8,0.43,0.53,0.54,0.45,1,0.25,0.63,0,0.03,0.04
0.34,0.79,0.66,1,0.83,0.72,0.52,0.51,1,0.49,0.91,0.13,0.43,0,0,0.14
0.33,0.8,0.23,1,0.87,0.96,0.97,0.68,0.79,0.44,1,0.16,0.44,0,0,0.22
0.23,0.76,0.52,1,1,0.98,0.79,0.71,0.63,0.5,0.82,0.19,0.49,0,0,0.07
0.39,0.81,0.72,1,1,0.77,0.71,0.51,0.95,0.43,0.95,0.16,0.5,0,0,0.01
0.11,0.84,0.52,1,1,0.96,0.83,0.66,0.72,0.5,0.87,0.16,0.45,0,0,0.11
0,1,0.07,0.92,0.05,0.68,0.19,0.45,0.86,0.34,1,0.45,0.74,0.23,0.67,0
0,1,0.03,0.72,0.26,0.35,0.85,0.35,1,0.71,0.73,0.97,0.65,0.49,0.66,0
0.11,1,0,0.69,0.15,0.43,0.87,0.47,1,0.65,0.74,0.67,0.71,0.33,0.66,0
0.46,1,0.1,0.83,0.34,0.64,1,0.77,0.71,0.82,0.49,0.54,0.22,0.27,0,0
0.77,0.97,0.4,1,0,0.59,0.09,0.29,0.84,0.33,1,0.64,0.77,0.44,0.48,0
0.63,1,0.4,0.73,0.7,0.63,1,0.77,0.79,0.74,0.55,0.48,0.29,0.23,0,0
0.17,1,0,0.74,0.06,0.36,0.77,0.37,1,0.63,0.73,0.95,0.71,0.47,0.75,0
0.34,1,0.21,0.76,0,0.35,0.43,0.3,0.91,0.29,1,0.41,0.74,0.46,0.67,0
0.46,1,0.21,0.85,0,0.6,0.24,0.42,0.68,0.44,1,0.49,0.76,0.25,0.58,0
0.22,1,0.01,0.66,0,0.33,0.5,0.32,1,0.36,0.82,0.63,0.77,0.3,0.71,0
0,0.87,0.37,1,0.19,0.7,0.05,0.42,0.88,0.49,1,0.58,0.84,0.28,0.88,0
0.42,1,0.09,0.79,0,0.46,0.48,0.31,1,0.46,0.89,0.52,0.46,0.3,0.19,0
0.16,1,0,0.78,0.05,0.54,0.41,0.32,0.93,0.39,1,0.48,0.91,0.24,0.89,0
0.67,1,0.3,0.9,0,0.57,0.41,0.4,1,0.53,0.98,0.67,0.66,0.34,0.4,0
0.19,1,0.04,0.77,0,0.51,0.46,0.36,1,0.47,0.96,0.49,0.87,0.23,0.77,0
0.47,1,0.4,0.82,0.18,0.49,0,0.19,0.53,0.2,0.92,0.34,0.94,0.35,1,0
0.72,1,0.38,0.84,0.13,0.63,0,0.4,0.4,0.28,0.88,0.31,1,0.22,0.84,0
0.13,1,0,0.76,0.28,0.53,0.94,0.56,1,0.76,0.93,0.66,0.94,0.33,0.91,0
0.3,1,0.16,0.84,0,0.51,0.28,0.26,0.8,0.33,1,0.65,0.79,0.34,0.68,0
0.67,1,0.36,0.82,0,0.6,0.05,0.37,0.66,0.38,1,0.5,0.73,0.25,0.56,0
0.53,1,0.23,0.77,0,0.57,0.74,0.66,1,0.79,0.7,0.85,0.44,0.42,0.16,0
0.27,1,0,0.74,0.4,0.54,1,0.59,0.84,0.91,0.57,0.64,0.43,0.32,0.33,0
0.69,1,0.31,0.73,0.39,0.55,0.89,0.62,1,0.84,0.63,0.57,0.31,0.28,0,0
0.52,1,0.29,0.73,0,0.47,0.19,0.42,0.69,0.37,1,0.54,0.9,0.3,0.88,0
0.8,1,0.6,0.76,0.26,0.52,0,0.28,0.46,0.11,0.97,0.29,1,0.24,1,0
0.51,1,0,0.9,0.05,0.57,0.92,0.61,1,0.7,0.85,0.82,0.68,0.4,0.86,0
0.73,1,0.43,0.7,0,0.42,0.25,0.41,1,0.45,0.9,0.64,0.63,0.32,0.54,0
0.03,1,0.04,0.83,0,0.56,0.15,0.31,0.6,0.28,1,0.42,0.91,0.26,0.88,0
0.7,1,0.46,0.7,0.12,0.38,0,0.25,0.52,0.29,1,0.41,0.96,0.38,0.9,0
0.13,1,0.08,0.93,0,0.66,0.08,0.41,0.57,0.4,1,0.5,0.82,0.25,0.69,0
0.45,1,0.01,0.67,0,0.24,0.69,0.24,1,0.48,0.73,0.98,0.8,0.53,0.9,0
0.74,1,0.3,0.76,0,0.5,0.55,0.49,1,0.72,0.77,0.56,0.52,0.28,0.35,0
0.13,0.89,0.12,0.5,0.72,0.38,0.56,0,0.04,0.17,0,0.61,0.32,0.94,1,1
1,1,0.72,0.99,0.36,0.78,0.34,0.54,0.79,0.47,0.64,0.13,0.19,0,0,0.02
0.12,0.77,0.2,0.62,0.78,0.4,0.5,0,0.01,0.17,0,0.64,0.23,0.98,1,1
0.1,0.86,0.34,0.66,0.68,0.34,0.34,0,0.04,0.26,0,0.69,0.34,0.95,1,1
0.4,0.99,0.51,0.66,0.79,0.26,0.39,0,0,0.27,0.08,0.77,0.46,1,1,0.94
0.29,0.91,0.14,0.57,0.66,0.39,0.3,0,0,0.19,0.03,0.72,0.39,0.97,1,1
0.3,0.87,0.16,0.55,0.68,0.41,0.52,0,0,0.16,0.15,0.63,0.41,1,1,0.98
0.01,0.88,0,0.54,0.59,0.31,0.36,0,0.11,0.28,0.04,0.68,0.28,0.97,1,1
0.41,0.96,0.17,0.76,0.5,0.37,0.31,0,0,0.34,0.01,0.86,0.49,0.98,1,1
0.3,0.81,0.87,1,1,0.98,0.37,0.86,0.46,0.54,0.99,0.32,0.59,0.02,0,0
0.37,0.91,0.84,1,1,0.96,0.52,0.87,0.32,0.57,0.74,0.38,0.41,0.01,0,0
0.16,0.9,0.09,0.61,0.5,0.35,0.23,0,0.05,0.35,0,0.81,0.48,0.97,1,1
0.21,0.88,0,0.57,0.88,0.58,0.88,0.18,0.15,0,0.08,0.42,0.12,0.83,1,1
0.18,0.88,0.02,0.54,0.4,0.25,0.02,0,0,0.3,0.2,0.7,0.45,1,1,0.93
0.43,0.94,0.15,0.66,0.52,0.38,0.2,0,0.05,0.35,0,0.83,0.42,1,1,0.98
0.07,1,0,0.56,0.51,0.37,0.39,0,0.09,0.15,0.05,0.62,0.42,0.92,1,0.96
0.45,0.93,0,0.6,0.75,0.69,0.89,0.29,0.19,0,0.15,0.43,0.26,0.93,1,1
0.14,0.94,0.04,0.63,0.43,0.36,0.36,0,0.1,0.27,0,0.72,0.47,0.92,1,1
0.3,0.98,0.16,0.6,0.53,0.28,0.46,0,0.13,0.29,0,0.68,0.27,0.95,1,1
0.45,0.85,0.93,1,1,0.98,0.48,0.88,0.07,0.62,0.48,0.48,0.48,0.18,0,0
0.26,0.74,0.19,0.49,0.64,0.21,0.2,0,0.01,0.25,0,0.64,0.45,0.87,1,1
0.14,1,0.01,0.54,0.51,0.47,0.36,0,0,0.14,0.06,0.71,0.42,0.93,1,0.97
0.24,1,0.14,0.55,0.72,0.52,0.54,0,0.08,0.02,0,0.58,0.35,0.95,1,0.99
1,0.96,0.71,1,0.42,0.79,0.49,0.56,0.91,0.51,0.82,0.16,0.42,0,0,0.01
1,1,0.64,0.98,0.26,0.85,0.36,0.63,0.76,0.58,0.75,0.24,0.42,0.01,0,0
0.02,0.8,0.36,0.5,0.54,0.12,0.09,0,0,0.41,0.05,0.78,0.49,0.95,1,1
0.47,0.91,0.37,0.63,0.65,0.27,0.21,0,0.09,0.4,0,0.91,0.49,1,1,0.91
0.12,0.73,0.29,0.62,0.66,0.32,0.29,0,0.05,0.29,0,0.71,0.38,0.96,1,1
0.39,0.8,0.21,0.6,0.35,0.19,0.12,0,0,0.31,0.16,0.72,0.51,0.98,1,1
0.38,0.92,0.15,0.72,0.42,0.44,0.25,0,0,0.08,0.08,0.61,0.4,0.93,1,1
0.27,0.92,0.22,0.53,0.58,0.28,0.18,0,0,0.32,0.13,0.85,0.5,0.98,1,1
1,0.97,0.56,1,0.22,0.83,0.18,0.5,0.53,0.47,0.68,0.22,0.37,0,0,0.06
0.93,0.91,0.4,1,0.15,0.79,0.23,0.36,0.72,0.53,1,0.21,0.57,0,0,0.06
1,1,0.63,0.94,0.2,0.73,0.13,0.44,0.7,0.47,0.89,0.19,0.46,0,0,0.07
0.29,0.88,0.23,0.57,0.73,0.4,0.51,0,0,0.13,0.12,0.58,0.42,0.94,1,1
1,1,0.88,0.99,0.49,0.74,0.17,0.47,0,0.16,0.37,0,0.73,0.16,0.2,0.2
0.54,1,0.34,0.75,0.06,0.43,0,0.11,0.7,0,1,0.28,0.44,0.46,0.36,0.21
0.6,1,0.2,0.76,0,0.39,0.1,0.01,0.69,0,1,0.33,0.56,0.4,0.15,0.1
1,0.99,0.67,1,0.24,0.68,0,0.32,0.27,0,0.99,0.08,0.77,0.4,0.09,0.55
0.97,1,0.41,0.9,0.04,0.58,0,0.22,0.52,0,1,0.22,0.49,0.38,0.08,0.13
1,1,0.58,0.83,0.31,0.55,0.17,0.24,0.43,0,0.8,0.19,0.5,0.43,0,0.39
0.72,1,0.38,0.88,0.02,0.57,0,0.19,0.51,0,1,0.2,0.55,0.34,0.12,0.07
0.32,1,0.12,0.76,0,0.48,0.01,0.21,0.39,0,1,0.09,0.64,0.21,0.18,0.03
0.39,1,0.23,0.82,0,0.52,0.01,0.21,0.48,0,1,0.16,0.7,0.42,0.06,0.55
1,1,0.63,0.78,0.28,0.53,0,0.27,0.04,0,0.6,0.01,0.78,0.22,0.24,0.21
0.73,0.98,0.35,1,0,0.59,0,0.13,0.71,0.08,1,0.45,0.29,0.41,0.09,0
0.85,1,0.3,0.84,0.05,0.54,0,0.22,0.48,0,1,0.21,0.66,0.47,0,0.37
1,0.77,0.92,1,0.49,0.76,0.18,0.48,0,0.15,0.38,0,0.75,0.23,0.29,0.27
1,0.98,0.6,1,0.29,0.73,0.1,0.41,0.06,0.06,0.46,0,0.46,0.27,0,0.3
0.84,1,0.59,0.99,0.16,0.72,0,0.42,0.2,0.12,1,0,0.94,0.22,0.04,0.27
1,1,0.53,0.81,0.25,0.54,0.11,0.25,0.38,0,0.99,0.08,0.65,0.29,0,0.25
0.86,1,0.48,0.79,0.13,0.52,0,0.22,0.45,0,1,0.16,0.76,0.4,0.06,0.35
0.65,1,0.24,0.84,0,0.48,0.09,0.1,0.61,0,1,0.24,0.58,0.47,0.02,0.46
0.84,1,0.46,0.98,0.13,0.6,0,0.19,0.53,0,1,0.32,0.33,0.36,0.1,0.04
0.98,1,0.52,0.77,0.18,0.52,0,0.25,0.25,0,1,0.05,0.97,0.29,0.23,0.22
1,1,0.59,0.79,0.26,0.54,0.02,0.28,0.01,0,0.58,0,0.58,0.21,0,0.19
1,1,0.68,0.96,0.38,0.7,0.14,0.44,0,0.14,0.36,0,0.51,0.23,0.03,0.28
0.78,1,0.4,0.94,0.16,0.58,0.05,0.21,0.53,0,1,0.27,0.36,0.3,0,0
0.91,1,0.66,0.88,0.31,0.58,0.15,0.26,0.5,0,1,0.17,0.67,0.45,0,0.47
1,1,0.52,0.8,0.2,0.52,0.06,0.2,0.45,0,0.99,0.12,0.59,0.3,0,0.25
1,1,0.71,0.95,0.3,0.64,0.01,0.27,0.32,0,0.82,0.19,0.54,0.51,0,0.48
1,1,0.68,0.78,0.37,0.55,0.13,0.29,0.11,0,0.51,0.02,0.41,0.2,0,0.2
1,0.92,0.64,1,0.37,0.77,0.2,0.5,0.11,0.21,0.22,0,0.35,0.26,0,0.4
0.85,1,0.56,0.72,0.42,0.39,0.55,0.07,1,0,0.95,0.3,0.46,0.37,0,0.23
0.65,1,0.25,0.93,0,0.56,0.11,0.16,0.6,0,1,0.2,0.5,0.28,0.09,0.01
1,1,0.5,0.98,0.16,0.67,0,0.3,0.26,0,0.8,0.08,0.81,0.34,0.29,0.24
1,1,0.62,0.83,0.36,0.57,0.23,0.26,0.42,0,0.81,0.1,0.43,0.23,0,0.18
1,1,0.59,0.78,0.25,0.52,0,0.24,0.16,0,0.79,0.08,0.7,0.29,0.07,0.27
0.92,1,0.61,0.85,0.31,0.57,0.1,0.29,0.21,0,1,0.07,0.69,0.27,0,0.13
1,1,0.54,0.9,0.17,0.66,0,0.35,0.16,0.05,0.66,0,0.66,0.29,0.22,0.47
0,0.85,0.38,1,0.81,0.88,0.87,0.5,0.84,0.12,0.58,0,0.53,0.22,1,0.24
0,0.98,0.36,1,0.8,0.85,0.68,0.42,0.56,0,0.25,0.23,0.5,0.37,1,0.32
0,0.93,0.62,1,1,0.78,0.69,0.43,0.5,0.05,0.35,0,0.15,0.35,0.86,0.37
0,1,0.61,1,1,0.93,0.63,0.64,0.36,0.33,0.14,0,0.09,0.29,0.47,0.42
0,0.97,0.42,1,0.67,0.71,0.53,0.35,0.34,0,0.16,0.23,0.4,0.42,1,0.42
0,1,0.54,0.98,0.91,0.85,0.71,0.52,0.62,0.17,0.74,0,1,0.32,0.42,0.37
0.03,0.96,0.53,1,0.81,0.68,0.83,0.28,0.72,0,1,0.34,0.51,0.41,0,0.43
0.22,0.93,0,0.95,0.5,0.97,1,1,0.67,0.81,0.43,0.56,0.28,0.28,0.3,0
0,1,0.67,1,0.86,0.72,0.56,0.37,0.34,0,0.06,0.33,0.32,0.45,1,0.46
0.02,0.85,0.31,1,0.76,0.74,0.62,0.37,0.47,0,1,0.08,0.68,0.3,0,0.41
0.24,1,1,0.99,0.93,0.78,0.64,0.48,0.39,0.17,0.19,0,0,0.31,0.72,0.38
0,0.78,0.18,0.96,0.59,0.95,1,1,0.86,0.82,0.66,0.56,0.52,0.29,0.47,0
0,0.91,0.46,1,0.85,0.8,0.91,0.4,0.88,0,0.99,0.22,1,0.52,0.5,0.49
0.21,0.92,0.85,1,0.9,0.67,0.67,0.34,0.49,0,0,0.26,0.27,0.43,1,0.42
0,0.97,0.43,1,0.58,0.62,0.41,0.17,0.26,0,0.08,0.36,0.54,0.34,1,0.33
0,0.87,0.55,1,1,0.81,0.74,0.41,0.49,0,0.2,0.1,0.32,0.32,0.99,0.35
0,0.96,0.45,1,1,0.99,0.79,0.83,0.6,0.63,0.45,0.42,0.36,0.21,0.33,0
0,0.96,0.4,1,0.6,0.66,0.58,0.27,0.41,0,0.2,0.35,0.54,0.42,1,0.46
0,0.82,0.25,1,0.52,0.73,0.44,0.34,0.32,0,0,0.29,0.5,0.34,1,0.39
0,1,0.5,0.97,1,0.91,0.74,0.63,0.55,0.29,0.42,0,0.2,0.31,0.68,0.36
0,0.93,0.45,1,0.74,0.75,0.57,0.37,0.35,0,0.25,0.24,0.53,0.41,1,0.37
0,0.89,0.41,0.94,0.87,1,1,0.98,0.8,0.75,0.68,0.5,0.59,0.25,0.6,0
0,0.8,0.3,1,0.74,0.81,0.82,0.43,0.75,0.04,0.39,0,0.44,0.16,1,0.2
0,0.95,0.52,1,1,0.79,0.83,0.44,0.67,0.08,0.45,0,0.03,0.3,0.84,0.38
0.47,1,0.27,0.81,0.57,0.37,0.26,0,0,0.23,0.56,0.53,1,0.9,0.4,0.98
0.48,0.96,0.62,0.65,0.88,0.27,0.21,0,0.21,0.33,0.79,0.67,1,1,0,0.85
0.73,0.62,0.53,1,0,0.72,0.82,0.39,1,0,0.15,0.14,0.52,0.57,0.9,0.94
0.61,0.59,0.58,1,0,0.84,0.44,0.42,0.8,0,0.08,0.05,0.33,0.44,1,0.7
